"CustomerID","FirstName","LastName","Department","Phone","Street",CITY,STATE,ZIPCODE
1,Kaylynn,Callier,ADMIN,14354452725,Drury lane,Erode,MT,48423
2,Ayyappan,Ouillette,SUPPORT,19034835359,Byrom street,Tirupathi,NC,92610
3,Jordane,Cazes,SUPPORT,16716696839,St peter¿s street,Dumdum,AL,60074
4,Neilan,Nicolette,DEV,17658349987,Highfield road,Darbhanga,NJ,28640
5,Waqar,Soulier,DEV,19528011127,Rumford street,NOIDA,DE,10007
6,Arifa,Royer,TESTING,17854395496,Renshaw street,Dewas,MN,60585
7,Kahini,Trudeau,TESTING,12092331656,Aigburth hall avenue,Alwar,VI,48002
8,Siti,Liou,DEV,12765576174,Calpe street,Virar,NJ,71292
9,Mili,Parde,DEV,12846434141,Magpie Lane,Nainital,MT,74848
10,Kipendo,Beauvais,DEV,12023459875,Crowell Road,Ulhasnagar,AR,32237
11,Adara,Travers,DEV,14124941332,Porter street,Rampur,CA,54726
12,Raymond,Becotte,DEV,17103947034,Old churchyard,Bangalore,RI,06903
13,Kenia,Sebastian,TESTING,17406119913,Allerton beeches,Nizamabad,OH,92415
14,Mahagauri,Ansel,DEV,17658349987,Clevely road,Ambala,MT,94143
15,Nafasi,Loebs,SUPPORT,18093384957,Maddocks street,Ferozepur City,OH,57769
16,Alvin,Etienne,DEV,17473095672,Upper brook st,Vapi,PW,24502
17,Adebomi,Chaney,SUPPORT,15066468413,Rectory Road,Wayanad,AL,83605
18,Garlyn,Brignac,SUPPORT,12422314833,Lydia anne street,Motihari,DC,47273
19,Safia,Sabot,ADMIN,17142821970,Lance lane,Dholka,PA,96779
20,Chameli,Florian,TESTING,17754265334,Dickens,Barwani,KY,61283
21,Rainier,Orleans,DEV,16169664713,Gathorne Road,Hamir,GA,23233
22,Pili,Thom,SUPPORT,15862334633,The piaza,Visakhapatnam,VA,58853
23,Agha,Rouleau,DEV,13411187145,Byrom street,Karur,WV,50541
24,Mitchel,Fouquet,TESTING,14343873464,Stanhope street,Vapi,CO,35762
25,Kamowa,Victoria,SUPPORT,13403355839,Smithdown road,Mirzapur,MS,63950
26,Mgeni,Ouellet,SUPPORT,19146724195,St Andrew's Lane,Farrukhabad,WY,11590
27,Chandrani,Loebs,DEV,14097322772,Quarry High Street,Dehradun,MI,76208
28,Manoj,Capron,SUPPORT,15702226000,Bateman Street,Ahmedabad,TX,39401
29,Drago,Salles,DEV,17124768131,Piper Street,Mokama,OH,61001
30,Emma,Beaumier,DEV,17109375467,Fairfield street,Moradabad,MO,56715
31,Edvin,Gedeon,TESTING,12016391570,Knight street,Beawar,MD,22907
32,Iniss,Therrien,DEV,17548892806,Bentley road,Karur,AZ,11792
33,Hema,Lucian,SUPPORT,16467909350,Tennyson,Jammu,WY,53598
34,Searbhreathach,Montplaisir,SUPPORT,15097915480,Tower street,Shajapur,PW,92178
35,Devereau,Faix,TESTING,17001601648,School lane,Karamsad,SD,75558
36,Antony,Barrand,DEV,17142821970,Hurst street,Nalgonda,IN,33012
37,Achieng,Neptune,DEV,16646893128,Rainford square,Bilaspur,NV,50244
38,Alam,Leys,DEV,14125142201,Crosse hall,Udhampur,NY,98855
39,Kanhaiyalal,Louvier,TESTING,19363324056,St cross,Banur,RI,62786
40,Izett,Fouquet,DEV,19153257768,Moss street,Leh,ME,33334
