"CustomerID","FirstName","LastName","Department","Phone","Street",CITY,STATE,ZIPCODE
1,Pushpanjali,Vaux,DEV,18317712405,Lucania street,Rajnandgaon,TN,31605
2,Amelia,Lucier,DEV,13055974620,St Andrew's Road,Narsimhapur,WY,45267
3,Noak,Belaire,DEV,17787018478,Duncan street,Bangalore,AZ,98284
4,Rekem,Garant,DEV,14708803320,Hodson place,Arrah,NE,20437
5,Dierdre,Parenteau,DEV,15148005165,Duncan street,Bellary,ID,56013
6,April,Fron,DEV,16824787743,Great newton street,Mumbai,VI,08650
7,Mahesh,Beaucage,DEV,14024932303,Devonshire road,Harda,KS,00959
8,Reba,Beaulieu,DEV,14354452725,Hatton garden,Madikeri,VI,53132
9,Jankia,Alleman,DEV,12688333046,Bold street,Chapra,NY,88265
10,Leonora,Rosselle,DEV,17156762065,Parkhill road,Karjat,SC,77065
11,Federico,Simoneaux,DEV,14428535162,Druids cross gardens,Bijnaur,SC,43229
12,Anjum,Lecuyer,DEV,17089419744,Beloe street,Jamshedpur,NE,00729
13,Kamaria,Orleans,DEV,18986466359,Edge lane,Gondiya,AR,19606
14,Christine,Arras,DEV,13419072778,Segrim¿s mill,Kolkata,IA,39573
15,Avner,Mailhot,DEV,12422144803,St Andrew's Road,Goa Velha,VT,79761
16,Bititi,Cabot,DEV,12468723641,Greenbank lane,Mahad,RI,69154
17,Irungu,Vallery,DEV,14038976609,Hope street,Karaikal,MN,15253
18,Latangi,Ouellet,DEV,18556437124,Menlove avenue,Baripada,PR,83462
19,Archana,Trottier,DEV,13801601118,Frederick street,Fatehgarh,NE,84740
20,Ulfat,Trimbur,DEV,15553765131,North street,Damoh,AK,54534
21,Yousaf,Ostheimer,DEV,16019863868,Dovecote place,Darbhanga,AZ,20825
22,Firoz,Champion,DEV,17247321179,Button street,Kohima,AS,65584
23,Tavion,Badon,DEV,12569221837,Vandries street,Khilchipur,MO,59750
24,Etor,Galland,DEV,12104777470,Church Cowley Road,Jaisalmer,MP,13340
25,Kalb,Noland,DEV,15093532648,Crowell Road,Bengaluru,OR,83401
