"CustomerID","FirstName","LastName","Department","Phone","Street",CITY,STATE,ZIPCODE
1,Ilham,Belan,DEV,18441236428,Greyhound farm road,Anand,NM,55985
2,Tatini,Allard,DEV,19086782509,Byrom street,Kottarakara,DE,53005
3,Jinaki,Beaucage,DEV,14794795861,Scotland road,Dehradun,PA,91123
4,Cameo,Cavalier,DEV,19849413925,Old haymarket,Greater Noida,FL,38863
5,Cameron,Frances,DEV,14123282955,Ashfield,Kumbhraj,RI,40241
6,Siham,Parenteau,DEV,18475629599,Parkhill road,Jhansi,KS,63460
7,Keveon,Gasque,DEV,14183218476,Upper brook street,Vasai,OR,75238
8,Boden,Turcotte,DEV,12846337676,Middle Way,Irinjalakuda,GA,44660
9,Caolaidhe,Mabon,DEV,13097971717,Princes boulevard,Anuppur,NM,30606
10,Chapala,Apostol,DEV,14241811677,Redhouse lane,Goa Velha,MT,50277
11,Haoniyao,Barras,DEV,19143294006,Holyoake Road,Tinsukia,MI,90029
12,Mandira,Lumpp,DEV,14693171610,Pitt street,Kokrajhar,MT,20233
13,Barrie,Moulis,DEV,14097322772,Steble street,Vyara,IA,06120
14,Sachit,Wampler,DEV,19477684476,Cunliffe street,Siliguri,GU,91202
15,Haripriya,Carreau,DEV,17162014087,Temple court,Unnao,AK,00769
16,Janna,Baril,DEV,14781391155,Brougham terrace,Sangamner,WI,43202
17,Vaijayantimala,Allie,DEV,12059999596,Basnett street,Betul,NC,20603
18,Mugure,St. Martin,DEV,19029274941,Ormond street,Singrauli,MO,71403
19,Hafiza,Cabaniss,DEV,18075586565,Rainford gardens,Bahraich,NH,76577
20,Katelynn,Gascon,DEV,12706468949,Barrack Road,Singrauli,OH,19012
21,Padriac,Bressan,DEV,14694059749,Fox street,Duhbai,DC,81325
22,Premala,Serene,DEV,15147235144,Hatfield street,Firozabad,SD,98605
23,Sayeeda,Vallier,DEV,15131342544,Busket lane,Rajsthan,IL,78154
24,Dionysios,Frere,DEV,19198896944,Stanley road,Jalgaon,NJ,19423
25,Carsten,Lecocq,DEV,13118577576,Warren street,Jalalabad,DC,89158
26,Rusty,Lestrange,DEV,12781471803,Grenville street south,Dharwad,UT,66102
27,Kaarlo,St. Croix,DEV,15593617083,Temple court,Vyara,MO,47939
28,Nainsi,Gasque,DEV,17162014087,Copperfield,Karaikal,LA,50590
29,Vedetta,Gerard,DEV,13039977580,Parkhill road,Tirupattur,LA,06708
30,Nmeregini,Etling,DEV,19046791922,Calpe street,Bardhaman,VA,63112
31,Renu,Audet,DEV,19545702194,St thomas¿ street,Kalimpong,IN,70629
32,Prabhav,Legros,DEV,16169664713,Church Street,Viluppuram,DE,77002
33,Tarunika,Tourdot,DEV,18638592230,Athol street,Bihar Sharif,ME,10901
34,Jaime,Rue,DEV,13099452550,Gillmoss lane,Ahmednagar,MS,28815
35,Merari,France,DEV,16417374173,Stockton wood road,Bareilly,CT,03824
36,Balaaditya,Soisson,DEV,12185722055,Deane street,Mount Abu,CA,23943
37,Orali,Cales,DEV,19311243870,Chapel street,Betul,NY,03855
38,Mpatuleni,Larivee,DEV,13809861332,Oldham street,Hubli,CA,10033
39,Kenrik,St. Cyr,DEV,17046169879,Holyoake Road,Jhabua,DC,00783
40,Ibycus,Gerould,DEV,14507445894,Walton hall avenue,Bardhaman,KS,15231
41,Hediye,Vieux,TESTING,19857376536,Denison street,Kanpur,WI,84627
42,Sajida,Beaumier,TESTING,16365373885,Brooklands road,Visakhapatnam,HI,28315
43,Phineas,Brunette,TESTING,12081224560,Price street,Bardhaman,MI,79978
44,Juan,Lazard,TESTING,13605387049,Pudsey street,Kohima,AL,98366
45,Vaidehi,Gaspar,TESTING,13453233712,Brownlow hill,Bokaro SteelCity,SC,28518
46,Gokul,Viverette,TESTING,13135201572,Drury lane,Khanna,KS,95667
47,Fiachina,Callier,TESTING,19006019919,Shakespeare,Nellore,FL,31705
48,Raghuvir,Madere,TESTING,12839222427,Holy land,Kolhapur,NV,75232
49,Sandro,Gerould,TESTING,13112157181,Monument place,Patratu,NH,65486
50,Baina,Chausse,TESTING,19046791922,Duncan street,Hastinapur,CT,46205
51,Shoaib,Carriere,TESTING,12899601272,Ullet road,Sheopur,AZ,78578
52,Conchobarra,Roussin,TESTING,15028265972,Abercromby square,Meerut,MS,61013
53,Badal,Sellier,TESTING,16693839970,Sheil road,Gangtok,MN,52151
54,Ridhwani,Ally,TESTING,15114943812,Park road,Cuttack,SC,61422
55,Nikita,Nugent,TESTING,16628214222,Sweeting street,Asansol,VI,90070
56,Shubhra,Camps,TESTING,12839453206,Quarry Hollow,Aurangabad,IN,18440
57,Himachal,Charley,TESTING,15037794831,Erskine street,Unnao,MP,39736
58,Ctesippus,Burditt,TESTING,17109791248,Church Street,Thrikkannamangal,MS,00784
59,Sumarville,Level,TESTING,15649422120,Church street,Dehradun,OK,15228
60,Saud,Lorance,TESTING,12248215025,Cunliffe street,Sironj,PA,22118
