"CustomerID","FirstName","LastName","Department","Phone","Street",CITY,STATE,ZIPCODE
1,Ufanisi,Talbert,DEV,13307823034,Jubilee drive,Chikmagalur,MN,13743
2,Sela,Ally,DEV,19527166906,Piper Street,Viluppuram,SC,39601
3,Esta,Fonder,DEV,16698741174,Southgate street,Jamnagar,MT,96836
4,Ricarda,Rous,DEV,17811585644,Lydia anne street,Bareilly,CA,96259
5,Kathy,Lemaitre,DEV,19543762318,Carnatic road,Banswara,IN,99647
6,Honna,Bardin,DEV,12072865773,Edge lane,Bokaro SteelCity,MO,39759
7,Duncan,Buis,DEV,16698173601,Holy land,Patna,VI,79013
8,Salah,Lormand,DEV,19194726326,High park,Kovilpatti,GU,20762
9,Shravana,Ruelle,DEV,12137923815,Springwood avenue,Jaunpur,MA,39428
10,Folami,Tardy,DEV,18317712405,Park road,Wayanad,HI,49116
11,More,Albert,DEV,18642053174,Erskine street,Dehradun,IL,84747
12,Aradhana,Lesane,DEV,18151159775,Dorans lane,Gundlupet,MI,28216
13,Songoro,Cabaniss,DEV,15641535783,Brooklands road,Shivani,MI,66203
14,Cyr,Barrier,DEV,16143842642,Byrom street,Fatehgarh,KY,03801
15,Giovanni,Lusignan,DEV,16828461557,Beauchamp Lane,Nadiad,MO,67010
16,Kijana,Luzier,DEV,13451883503,Alma road,Ramanathapuram,PA,45475
17,Jordell,Camille,DEV,12172652261,Commutation row,Khuldabad,IA,50057
18,Oles,Chenot,DEV,12461377807,Wellington road,Chapra,MT,70360
19,Beartlaidh,Rogier,DEV,14505055006,Mill street,Champawat,LA,46534
20,Varden,Perilloux,DEV,14092463389,Dovecote avenue,Narsinghgarh,NM,72635
21,Farashuu,Ferrand,DEV,1553747393,Sheil road,Kovilpatti,HI,29826
22,Jamee,Laroche,DEV,17107265075,Carpenters row,Lamka,ID,24614
23,Savino,Bau,DEV,17634541938,Window lane,Kurnool,IN,62442
24,Jomo,Pequignot,DEV,15026388946,Grayson street,Dharamsala,NV,71354
25,Rigoberto,Callens,DEV,17178977027,St michael¿s gate,Kavaratti,HI,76544
26,Dallas,Paternoster,DEV,12505326265,Pickop street,Beawar,UT,61265
27,Janna,Tally,DEV,19725325316,Carlton street,baran,DE,76642
28,Killian,Gery,DEV,15135048316,Elms Road,Erode,MD,72214
29,Robena,Artus,DEV,18317031461,Porter street,Gondiya,WA,60706
30,Christel,Fanger,DEV,18456481675,St anne street,Bongaigaon,CO,00965
31,Shaiming,Cantin,DEV,12528104221,Quarry Hollow,Gorakhpur,MS,00680
32,Vipra,Ruffin,DEV,18585703311,Greenland street,Rampur,NJ,02184
33,Aeolus,Simonet,DEV,15087938353,Dundonald street,Karaikal,FL,14537
34,Destan,Perreault,DEV,13403355839,York street,Arcot,KY,74104
35,Ducha,Bresett,DEV,13616133895,Price street,Barrackpur,CO,78785
36,Reid,Magnon,DEV,18353879503,Stanley street,Udaipur,WV,83815
37,Raylen,Cauchon,DEV,14133129446,Utting ave east,Pasla,IL,92267
38,Varda,Arabie,DEV,18098766760,Gardners drive,Goa Velha,MN,31331
39,Jailyn,Serres,DEV,15037794831,Bold street,Madurai,OR,57259
40,Babu,Lastrapes,DEV,16495115339,Holt road,Bahraich,WV,36518
41,Aviva,Lasser,TESTING,15025105206,Cumberland street,Bhiwandi,NY,22481
42,Edeen,Buron,TESTING,19841561115,Wilberforce Street,Bhavnagar,NE,45424
43,Ophira,Forton,TESTING,19528011127,Shakespeare,Jaisalmer,IL,16388
