"First_Name","Last_name","E-mail","Marital Status"
Shelby,Logan,Shelby@ds.com,MARRIED
Wilfried,Manning,Wilfried@ds.com,DIVORCED
Todor,Elder,Todor@ds.com,MARRIED
Sharanya,Leob,Sharanya@ds.com,MARRIED
Tanaya,Power,Tanaya@ds.com,SINGLE
Tapan,Erickson_ru,Tapan@ds.com,SEPERATED
Zuhra,Yung,Zuhra@ds.com,DIVORCED
Shumaila,Williams_ko,Shumaila@ds.com,DIVORCED
Vaijayantimala,Stock_ru,Vaijayantimala@ds.com,DIVORCED
Siena,Sheffield,Siena@ds.com,MARRIED
Tier,Toledo Valadares,Tier@ds.com,MARRIED
Naeem,Okano,Naeem@ds.com,DIVORCED
Nakshatra,Estevez,Nakshatra@ds.com,SINGLE
Fila,Renola_ko,Fila@ds.com,SINGLE
Muire,Xu,Muire@ds.com,SINGLE
Tylissus,Altmeyer,Tylissus@ds.com,SEPERATED
Alistaire,Rolland,Alistaire@ds.com,SINGLE
Shemsa,Camila Marcelino,Shemsa@ds.com,DIVORCED
Tanmay,Albury,Tanmay@ds.com,DIVORCED
Tatiana,Trimble,Tatiana@ds.com,SINGLE
